zipcode,agi_estimate
1001,52895.32293986637
1002,64528.45100105374
1003,15441.176470588236
1005,54694.09282700422
1007,63654.35356200528
1008,57575.757575757576
1009,45576.92307692308
1010,61303.1914893617
1011,49807.692307692305
1012,53214.28571428572
1013,40390.995260663505
1020,45904.74620962426
1022,42934.782608695656
1026,49744.897959183676
1027,53633.13008130081
1028,68378.78787878787
1029,53906.25
1030,58416.666666666664
1031,44500.0
1032,55769.230769230766
1033,59094.427244582046
1034,62019.230769230766
1035,59172.661870503594
1036,64738.80597014925
1037,59294.8717948718
1038,62692.307692307695
1039,59615.38461538462
1040,40402.05562273277
1050,52616.27906976744
1053,59375.0
1054,68750.0
1056,54591.346153846156
1057,58116.11374407583
1060,58355.97826086957
1062,62412.12653778559
1066,55000.0
1068,61984.536082474224
1069,52134.14634146341
1070,44758.06451612903
1071,52500.0
1072,60855.26315789474
1073,66082.31707317074
1074,36574.07407407407
1075,60341.30688448075
1077,62850.701402805615
1079,45238.09523809524
1080,42796.61016949153
1081,50000.0
1082,49126.746506986026
1083,47844.8275862069
1085,54716.35883905013
1086,48437.5
1088,49621.21212121212
1089,50321.888412017164
1092,44517.54385964912
1093,62500.0
1094,50833.333333333336
1095,73679.69821673525
1096,59570.3125
1098,56854.83870967742
1103,35163.55140186916
1104,34518.572825024436
1105,23604.218362282878
1106,89739.78919631093
1107,30573.047858942067
1108,34982.63888888889
1109,31735.751295336788
1118,48400.962861072905
1119,42114.093959731545
1128,54513.88888888889
1129,47860.96256684492
1151,33648.9898989899
1201,47423.6641221374
1220,44100.46728971963
1222,43750.0
1223,54673.913043478264
1225,54068.047337278105
1226,55909.09090909091
1230,57047.87234042553
1235,54336.73469387755
1236,48546.51162790698
1237,55080.645161290326
1238,51797.38562091503
1240,66982.07171314741
1242,46666.666666666664
1243,57142.857142857145
1244,53676.470588235294
1245,59375.0
1247,41055.555555555555
1253,54347.82608695652
1254,75833.33333333333
1255,45075.757575757576
1256,51689.18918918919
1257,56854.83870967742
1258,65131.57894736842
1259,49038.46153846154
1260,45833.333333333336
1262,65705.1282051282
1264,57500.0
1266,64864.86486486487
1267,71520.61855670103
1270,58653.846153846156
1301,46735.86040914561
1330,57833.333333333336
1331,45592.94871794872
1337,56944.444444444445
1338,46428.57142857143
1339,46404.109589041094
1340,47844.8275862069
1341,69728.9156626506
1342,62142.857142857145
1344,47756.41025641026
1346,47222.22222222222
1349,45625.0
1351,54166.666666666664
1354,54166.666666666664
1355,53457.44680851064
1360,56414.47368421053
1364,43803.72492836676
1366,60483.87096774193
1367,45108.69565217391
1368,53728.070175438595
1370,50857.8431372549
1373,59533.898305084746
1375,52581.52173913043
1376,40662.055335968376
1378,47916.666666666664
1379,41250.0
1420,43706.1521856449
1430,61685.667752443
1431,60312.5
1432,60692.77108433735
1434,58928.57142857143
1436,49568.96551724138
1438,47115.38461538462
1440,46222.16330858961
1450,88122.60536398468
1451,101054.21686746988
1452,63295.454545454544
1453,51700.56100981767
1460,83143.15352697096
1462,67791.00529100529
1463,66508.62068965517
1464,62177.41935483871
1467,76136.36363636363
1468,58157.27699530516
1469,62636.98630136986
1473,65000.0
1474,62500.0
1475,49440.298507462685
1501,60865.8256880734
1503,75388.19875776398
1504,58474.57627118644
